DATA,DESPESA,competencia
2011-02-28,4091.58,03-2023
2011-03-31,0.0,03-2023
2011-04-30,247.79999999999998,03-2023
2011-05-31,40.94,03-2023
2011-06-30,56.96,03-2023
2011-07-31,0.0,03-2023
2011-08-31,2701.76,03-2023
2011-09-30,19.15,03-2023
2011-10-31,44.5,03-2023
2011-11-30,65.95,03-2023
2011-12-31,571.4300000000001,03-2023
2012-01-31,789.3199999999999,03-2023
2012-02-29,0.0,03-2023
2012-03-31,173.8,03-2023
2012-04-30,403.9,03-2023
2012-05-31,195.47,03-2023
2012-06-30,767.97,03-2023
2012-07-31,172.0,03-2023
2012-08-31,442.2,03-2023
2012-09-30,1475.9,03-2023
2012-10-31,208.45,03-2023
2012-11-30,763.3,03-2023
2012-12-31,617.48,03-2023
2013-01-31,321.98,03-2023
2013-02-28,266.25,03-2023
2013-03-31,334.06,03-2023
2013-04-30,3312.8299999999995,03-2023
2013-05-31,618.26,03-2023
2013-06-30,75.55,03-2023
2013-07-31,941.51,03-2023
2013-08-31,143.57,03-2023
2013-09-30,402.0,03-2023
2013-10-31,426.86,03-2023
2013-11-30,323.75,03-2023
2013-12-31,393.28,03-2023
2014-01-31,334.96,03-2023
2014-02-28,519.13,03-2023
2014-03-31,622.11,03-2023
2014-04-30,6353.959999999999,03-2023
2014-05-31,191.55,03-2023
2014-06-30,587.65,03-2023
2014-07-31,146.0,03-2023
2014-08-31,268.0,03-2023
2014-09-30,146.0,03-2023
2014-10-31,0.0,03-2023
2014-11-30,633.0,03-2023
2014-12-31,918.92,03-2023
2015-01-31,0.0,03-2023
2015-02-28,1692.26,03-2023
2015-03-31,0.0,03-2023
2015-04-30,640.88,03-2023
2015-05-31,2814.56,03-2023
2015-06-30,0.0,03-2023
2015-07-31,0.0,03-2023
2015-08-31,2893.7599999999998,03-2023
2015-09-30,68.28,03-2023
2015-10-31,0.0,03-2023
2015-11-30,894.35,03-2023
2015-12-31,1353.46,03-2023
2016-01-31,1296.68,03-2023
2016-02-29,1754.7,03-2023
2016-03-31,137.39,03-2023
2016-04-30,0.0,03-2023
2016-05-31,562.1800000000001,03-2023
2016-06-30,664.0,03-2023
2016-07-31,303.14,03-2023
2016-08-31,3781.87,03-2023
2016-09-30,1442.6399999999999,03-2023
2016-10-31,708.3900000000001,03-2023
2016-11-30,692.7,03-2023
2016-12-31,1218.72,03-2023
2017-01-31,766.12,03-2023
2017-02-28,270.6,03-2023
2017-03-31,329.67,03-2023
2017-04-30,318.22,03-2023
2017-05-31,0.0,03-2023
2017-06-30,211.64,03-2023
2017-07-31,440.0,03-2023
2017-08-31,77.63,03-2023
2017-09-30,641.3599999999999,03-2023
2017-10-31,797.36,03-2023
2017-11-30,283.0,03-2023
2017-12-31,0.0,03-2023
2018-01-31,334.48,03-2023
2018-02-28,0.0,03-2023
2018-03-31,1726.16,03-2023
2018-04-30,1197.01,03-2023
2018-05-31,1155.03,03-2023
2018-06-30,285.0,03-2023
2018-07-31,791.41,03-2023
2018-08-31,423.1,03-2023
2018-09-30,1298.37,03-2023
2018-10-31,1178.6,03-2023
2018-11-30,1123.06,03-2023
2018-12-31,605.53,03-2023
2019-01-31,0.0,03-2023
2019-02-28,571.96,03-2023
2019-03-31,1522.15,03-2023
2019-04-30,115.5,03-2023
2019-05-31,0.0,03-2023
2019-06-30,362.72,03-2023
2019-07-31,0.0,03-2023
